0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,"TERI office, Vital Medi healthcare Pvt Ltd",80,,,2,,,2,,,2,,
,Belgaum,Karnataka SPCB Office Building,91,,,2,,,2,,,2,,
,Bijapur,KSPCB Office Premises,77,,,2,,,3,,,2,,
,Chitradurga,KSPCB Office Premises,98,,,2,,,4,,,3,,
,Devanagere,"Regional Office building, KSPCB",80,,,2,,,6,,,3,,
,,"Mothi Theatre, Gandhi Circle, P.B. Road",84,,,4,,,7,,,5,,
,,"HPF Intakewell, Kumarapattnam",82,,,2,,,5,,,3,,
,Gulburga,Government Hospital,18,,,2,,,5,,,3,,
State,City,Location,,No. of monitoring,,,SO2 Concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
,Hassan,KSRTC bus stand building,108,,,4,,,8,,,5,,
,"Hubli-
Dharwad","Lakkamanahalli Industrial Area, Dharwad",106,,,4,,,7,,,5,,
,,"Rani Chennamma Circle, Hubli",108,,,4,,,9,,,5,,
,Karwar,Karwar Port Directors Office,27,,,4,,,6,,,5,,
,Kolar,"KSPCB Office Premises, Kolar",86,,,2,,,2,,,2,,
,Mandya,"KSPCB Building, Bandigowda Badarahe",96,,,2,,,7,,,2,,
,Mangalore,Baikampady Industrial Area,95,,,3,,,12,,,8,,
,Mysore,"K.R.Circle, Visvesvaraya Bldg",104,,,2,,,9,,,2,,
,,KSPCB Bldg. Hebbal Ind. Area,91,,,2,,,9,,,2,,
,Raichur,"KSPCB Office Premises, Raichur",84,,,2,,,24,,,3,,
,Shimaga,"The VISL, Oxygen Plant, Shimoga",89,,,2,,,5,,,3,,
,Timukuru,KSPCB Office Premises,94,,,2,,,2,,,2,,
Kerala,Alappuzha,"District Office, Alissery Road",120,,,2,,,2,,,2,,
,,"DC Mills, Pathirappally",119,,,2,,,2,,,2,,
,Kochi,"Eloor I, FACT, Ambalamughal",120,,,2,,,2,,,2,,
,,Eloor II,119,,,2,,,2,,,2,,
,,Irumpanam,96,,,2,,,10,,,3,,
,,Ernakulum South,96,,,2,,,6,,,2,,
,,VYTTILA,119,,,2,,,11,,,3,,
,,MG Road Bank Ernakulum,108,,,2,,,9,,,3,,
,,KALAMASSERY / CSIR Complex,114,,,2,,,7,,,2,,
,Kollam,"KSPCB, District Office, Kadappakada",120,,,2,,,5,,,2,,
,,KMML Chavara,120,,,2,,,7,,,3,,
,Kottayam,Kottayam,120,,,4,,,5,,,4,,
,,Vadavathoor,120,,,4,,,12,,,5,,
,Kozhikode,Kozhikode City,120,,,2,,,2,,,2,,
,,Nallalam,120,,,2,,,2,,,2,,
,Malapuram,"Kakkanchery, Sijmak oils",119,,,2,,,2,,,2,,
,Palakkad,SEPR Refractories India Ltd.,120,,,2,,,2,,,2,,
,"Pathanamthit
ta","KSPCB, Makkamkunnu",120,,,2,,,2,,,2,,
,"Thiruvananth
apuram",PRS Hospital/COSMO,108,,,6,,,11,,,8,,
,,SMV School,108,,,6,,,11,,,8,,
,,VELI / HiTech Chackai,99,,,13,,,19,,,17,,
,,PETTAH / Sasthamangalam,108,,,6,,,11,,,8,,
,Thissur,"KSPCB, District Office, Poonkunnam",119,,,2,,,3,,,2,,
,Wayanad,Sulthan Bathery,120,,,2,,,2,,,2,,
