0,1,2,3,4,5,6,7,8,9,10
,Hassan,KSRTC bus stand building,2,,,5,,,3,
,Hubli-Dharwad,"Lakkamanahalli Industrial Area, Dharwad",4,,,5,,,4,
,,"Rani Chennamma Circle, Hubli",4,,,6,,,5,
,Mandya,"KSPCB Building, Bandigowda Badarahe",2,,,3,,,2,
,Mangalore,Baikampady Industrial Area,2,,,10,,,6,
,Mysore,"K.R.Circle, Visvesvaraya Bldg",2,,,4,,,2,
,,KSPCB Bldg. Hebbal Ind. Area,2,,,8,,,2,
,Shimaga,"The VISL, Oxygen Plant, Shimoga",2,,,10,,,6,
,Timukuru,KSPCB Office Premises,2,,,3,,,2,
Kerala,Alappuzha,"District Office, Alissery Road",2,,,2,,,2,
,,District Office Alappuzha,2,,,2,,,2,
,,William Goodacre Power House Bridge,2,,,3,,,2,
,Kochi,"Eloor I, FACT, Ambalamughal",2,,,7,,,2,
,,Eloor II,2,,,7,,,2,
,,Irumpanam,2,,,2,,,2,
,,Ernakulum South,2,,,2,,,2,
,,VYTTILA,2,,,2,,,2,
,,MG Road Bank Ernakulum,2,,,2,,,2,
,,KALAMASSERY / CSIR Complex,2,,,2,,,2,
,,Kuttipadam,2,,,10,,,3,
,Kollam,"KSPCB, District Office, Kadappakada",2,,,3,,,2,
,,KMML Chavara,3,,,5,,,4,
,Kottayam,Kottayam,2,,,2,,,2,
,,Vadavathoor,2,,,3,,,2,
,Kozhikode,Kozhikode City,2,,,2,,,2,
,,Nallalam,2,,,2,,,2,
,Malapuram,"Kakkanchery, Sijmak oils",2,,,2,,,2,
,Palakkad,SEPR Refractories India Ltd.,2,,,23,,,3,
,Pathanamthitta,"KSPCB, Makkamkunnu",2,,,2,,,2,
,Thiruvalla,Thiruvalla,2,,,2,,,2,
,Thiruvananthapuram,VELI / HiTech Chackai,2,,,16,,,5,
,,PETTAH / Sasthamangalam(plamadou),2,,,18,,,5,
,Thissur,"KSPCB, District Office, Poonkunnam",2,,,5,,,2,
,,Thissur/ Peringandoor,2,,,5,,,2,
,Wayanad,Sulthan Bathery,2,,,2,,,2,
,,Wayanad,2,,,2,,,2,
"Madhya
Pradesh",Amlai,HJI,8,,,17,,,11,
,,OPM,9,,,17,,,11,
,Bhopal,"Hamidia Road, MP Hastshilp Vikas Nigam",2,,,24,,,10,
,,CETP Govindpura,2,,,15,,,7,
,,Arera Colony,2,,,18,,,4,
,Chhindwara,"HIG -33, Front of Geetanali Park Housing Board
Colony, Chadagaon",2,,,4,,,3,
,,"Hindustan Unileaver, Narsinghpur Road,",2,,,5,,,3,
,Dewas,EID Perry (I) Limited,10,,,26,,,16,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State / UT,City/Town/Village,Location,,SO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
,,Dewas Metal Section,10,,,23,,,17,
,,Vikas Nagar,11,,,25,,,16,
,Gwalior,Dindayal Nagar,2,,,42,,,14,
,,Maharaj Bada,3,,,45,,,17,
,Indore,"M.P. Laghu Udyog, Pologround",7,,,13,,,11,
,,"Kothari Market, M.G. Road",6,,,16,,,11,
,,"Telephone Nagar, 26 A, Kanadia Road",6,,,16,,,10,
,Jabalpur,Vijay Nagar,2,,,11,,,2,
